2015,,2014,,2013,,2012,,2011,,2010,,2009,,2008,,2007,,2006,
Princeton,6.87147306,Murray St.,6.195189299,Wake Forest,6.011089368,St. John's (NY),6.318640219,Denver,6.8236451,Memphis,6.320294624,Oklahoma,7.686646074,Nevada,5.871863766,Miami (OH),7.003499636,Saint Joseph's,6.341626568
Little Rock,6.846232827,Pepperdine,6.034482105,Vanderbilt,5.935757744,Florida St.,6.219664595,Missouri St.,6.812453713,Boise St.,6.076622528,Arkansas,7.205454159,Vermont,5.669101646,New Mexico St.,6.944285101,Miami (OH),6.283893676
UNCW,6.469081523,Washington,5.923410708,Texas A&M,5.899544921,LSU,6.207255437,Georgia,6.600906832,Creighton,5.48252655,Auburn,6.870177724,St. John's (NY),5.614082709,Missouri St.,6.839662925,Evansville,6.268535388
Davidson,6.270957344,Toledo,5.899738856,South Carolina,5.82954884,Louisiana Tech,6.126023602,Tulsa,6.498477247,Harvard,5.457828948,Stanford,6.763649544,Oregon St.,5.583322805,San Diego St.,6.755276617,Appalachian St.,6.252561631
South Dakota St.,6.105536563,UTEP,5.824924587,UNI,5.748091774,Stony Brook,6.105936614,Arkansas,6.437480682,Dayton,5.457273147,Illinois St.,6.747460358,Saint Joseph's,5.379107217,LSU,6.401742444,Fresno St.,5.903326303
Monmouth,6.096008711,San Diego,5.652100424,Georgia Tech,5.60321559,Seton Hall,6.052067967,Georgia St.,6.364294962,Portland,5.296853974,Saint Louis,6.688657905,Arkansas,5.300215616,Cal St. Fullerton,6.366846681,Oral Roberts,5.650932446
Wake Forest,6.041280111,UNLV,5.602096919,Auburn,5.502451566,Wyoming,5.929349981,Texas A&M,6.255321126,UNI,5.116117094,Kent St.,6.53923757,Western Ky.,5.228936714,South Fla.,6.262428398,Loyola Chicago,5.568171724
Akron,5.809935917,Georgia St.,5.305780319,UTEP,5.49392694,Northwestern,5.914098982,Rutgers,6.10635415,Valparaiso,4.914235206,UCLA,6.537391284,George Mason,5.025776465,North Carolina St.,6.210736376,Tulsa,5.55507261
William & Mary,5.603648415,California,5.298897882,Mercer,5.480880555,Evansville,5.821639683,Cleveland St.,6.030794269,Wofford,4.906743376,Washington St.,6.455564586,Iowa St.,4.965784278,Colorado,5.981798519,Utah St.,5.54748456
UT Arlington,5.543735623,Wake Forest,5.215581674,Stephen F. Austin,5.255177931,New Mexico St.,5.774400908,Oral Roberts,5.858997411,Arizona St.,4.867324727,Ohio,5.868210272,Oral Roberts,4.641043442,Seton Hall,5.974919377,St. Mary's (CA),5.371457991
UC Irvine,5.370794227,La Salle,4.985039311,Utah St.,5.222356579,North Dakota St.,5.7230244,Richmond,5.395766185,South Fla.,4.860599144,Southern Miss.,5.575228914,La Salle,4.628223675,UTEP,5.953434628,Penn,5.371222045
Hofstra,5.341532415,Bowling Green,4.816457001,Northwestern,5.094317869,Georgia,5.720380948,Montana,5.224015102,South Carolina,4.660198088,Wofford,5.492158319,Wright St.,4.533827004,DePaul,5.906461775,George Mason,5.351875303
New Mexico,5.245994159,Iona,4.81067906,Portland,5.086045785,Indiana St.,5.644480795,UCF,5.01194411,Texas Tech,4.605478367,Charlotte,5.245147951,Akron,4.520032774,Iowa St.,5.900612205,St. John's (NY),5.339475049
TCU,4.970231826,Texas Tech,4.726934378,Vermont,4.970303311,Utah,5.26756772,Lehigh,4.949531581,Drexel,4.590233558,Utah,5.105035508,Miami (OH),4.378081611,Cincinnati,5.89189911,Northwestern,5.329723202
SFA,4.615899579,Portland,4.704771213,Middle Tenn.,4.901154789,West Virginia,5.10862318,Nevada,4.867477126,South Dakota St.,4.528828674,Oregon,4.994705896,Cornell,4.092470794,Penn St.,5.868152316,UAB,5.133473175
UAB,4.519135933,UC Santa Barbara,4.653429861,Wyoming,4.849860227,UTEP,5.045228621,Providence,4.843605721,Long Beach St.,4.394913585,Montana,4.949187469,South Fla.,4.023418533,Siena,5.395098561,Colorado St.,5.114882506
Fresno St.,4.514352785,Hofstra,4.497825675,Cleveland St.,4.808660959,Nebraska,4.940031955,Buffalo,4.814462325,Oklahoma,4.315934375,Creighton,4.941196653,Portland,3.980664294,Nevada,5.383251814,UCF,5.062792944
Illinois,4.383365283,Massachusetts,4.183775786,UC Irvine,4.725350625,Stephen F. Austin,4.81193565,Duquesne,4.778198881,Princeton,4.277859978,Louisiana Tech,4.679014614,Oakland,3.962683387,Ohio,5.186042808,Cincinnati,5.045991324
Chattanooga,4.380969973,Harvard,4.177731954,La Salle,4.61623022,George Washington,4.765585047,Old Dominion,4.76553904,Kent St.,4.242170943,Sam Houston St.,4.651785536,Old Dominion,3.95482934,UNI,4.822902932,South Carolina,4.995952161
Long Beach St.,4.072153191,DePaul,4.161476846,UC Santa Barbara,4.593464038,South Fla.,4.744880496,UC Santa Barbara,4.686211755,Indiana St.,4.03650412,Bradley,4.623009202,New Mexico St.,3.918711794,Western Mich.,4.797921251,Drake,4.978749163
Stony Brook,4.069671224,St. Bonaventure,4.060499195,N.C. Central,4.456373293,Iona,4.529353645,Maryland,4.634922246,Rhode Island,3.916049785,Southern Ill.,4.596507944,CSUN,3.846513876,Winthrop,4.792641493,UTEP,4.890827843
Illinois St.,4.008316245,New Mexico,4.048276396,Fresno St.,4.088861117,Utah St.,4.510028488,George Mason,4.498627291,Wright St.,3.877297672,George Washington,4.322071568,Richmond,3.671284437,Southern Miss.,4.621586218,North Dakota St.,4.783993403
Milwaukee,3.91719893,Sam Houston St.,4.007471597,Buffalo,4.050060709,Lehigh,4.503677023,Mercer,4.425589023,Mississippi St.,3.83876632,Morehead St.,4.307327497,TCU,3.554187742,Cleveland St.,4.601718677,Boise St.,4.603819443
UC Santa Barbara,3.758364544,Wyoming,3.893992979,Toledo,3.76622947,Harvard,4.456250922,Penn St.,4.403559704,Santa Clara,3.649996766,Weber St.,4.18099232,Evansville,3.538725877,Michigan,4.369970378,Arizona St.,4.53098716
Penn St.,3.5747364,Yale,3.890350561,Colorado St.,3.757101765,Air Force,4.160647488,Wagner,4.279273175,Buffalo,3.547512898,William & Mary,4.153159058,Pacific,3.501319296,Ill.-Chicago,4.225677527,Penn St.,4.482102749
